"","Title","Date","User","Body","Rating","Show"
"70","Tattoos",2019-02-01,"johnmmanderson","Really not sure why you are making fun of woman with lower back tattoos, and calling them tramps. I really think you should get rid of the “can’t let it go” segment. Also, you should issue an apology. Once you do that I’ll change my review. Other then that, pretty informative.",2,"Politics"
"71","Terrible",2018-11-08,"meghan h r","This is this most politically biased podcast out there. I know that NPR is typically liberal, but this takes it to a new level. Don’t listen to this show if you’re looking for general political updates as the reporters cannot control their liberally biased opinions. Mara Liassan is what gives reporters a bad name. So disappointed.",1,"Politics"
"72","Helped get me over the finish line.",2018-11-08,"PC Thugs","So it’s npr. You know the hosts and guests know their stuff. They provide excellent analysis, make complicated issues understandable and they bring the funny.",4,"Politics"
"73","Why do we fund this show ?",2018-11-09,"SioneTuitaBMahe","WE need to defund NPR and PBS ! Why do conservatives have to pay into these shows when they spout their liberal bias everyday ? I can't think of one conservative show that liberals have to pay into. DEFUND !!!",1,"Politics"
"74","November 12th Edition Review",2018-11-13,"Les Cargo","Team Gets it So Wrong Again
Canned Laughter aside.
Thanks so much team for your really in-depth reporting of.....you guessed it: the who's gonna be the next speaker of the house horse race!",2,"Politics"
"75","Great for Left Leaning view of political events",2018-11-27,"Pdaddy1569","I enjoy listening to NPR politics podcast as a part of my portfolio of news and political punditry sources. The show is well produced and easy to follow. The podcasters provide a good breakdown of events and even some basic politics 101 info.",4,"Politics"
"76","Stop using the republican talking points",2018-11-27,"Intelligentsia","The conversation about politics is well thought out in most circumstances but because you use the republican talking points to start the conversation and don’t refute them you are contributing to the problem. For example, Your discussion about the republicans keeping the senate failed to mention that the democrats got 16,000,000 more votes than the republicans did. This is important to point out for the same reason that people who look at a red map and interpret that to mean the republicans significantly outnumber democrats is wrong. Land doesn’t vote. People do. All of that red has fewer people in it than California. Use a cartogram that shows population based results.",1,"Politics"
"77","Hilarious",2018-11-28,"WeWOMANhearUSroar!","I love how casual this podcast is albeit trying to be a hardline news beat. Most of the people on here are so funny, I appreciate the humour in these dark news times.",5,"Politics"
"78","Newer listener",2018-12-07,"richballantine","I’ve been listening to this show on my daily walks and look forward to it every week. It’s light but I feel very informative on the politics of the day. I’ve seen a live show a few months ago and it was terrific. Most of the hosts appear knowledgeable and presents the facts very well. I do find some of the can’t let it go segments sometime unrelated to the political topics. I don’t see how Hip Hop music facts relates to the politics of the day. Overall, it’s a five star program.",5,"Politics"
"79","Not much new here...verbatim of ATC and ME stories",2018-12-09,"NPR afficionado","This used to be more fun and spontaneous conversation between the panelists. Now it’s a lot of ideas and verbatim phrases I’ve already heard these reporters speak on NPR news shows. Go more in depth for the political junkies. Also, get Don Gonyea on for a (slightly) more conservative perspective.",2,"Politics"
"80","I love this show, I am not a fan of Tamara Keith",2018-12-10,"Lessers793","I love this show and look forward to every podcast that comes out. I was listening to this podcast when it was just the two men talking; Ron and I think Ken. I love it when Ron is on the air, he seems to know everything about anything politics or otherwise. I have to say, and I am so sorry, I am not a huge fan of Tamara Keith. I like everyone else and all the hosts seem to get along and have a cute and fun banter that makes the podcast literally fly by in what feels like seconds. Unfortunately, Tamara comes off as a know it all and frequently interrupts the other hosts with her thoughts and I really don’t think what she adds is very interesting or useful. I think she is a good journalist and I like how she comes across in the Up First podcasts but on It’s All Politics, I like it better when she is not one of the hosts.",4,"Politics"
"81","How it should be...summaries of current politics",2018-12-12,"Veej P.","Appreciate the controlled and minimal personal opinions re: current politics. Succinct and concise summaries of the week’s news. How it should be.",5,"Politics"
"82","Things may have changed by the time you read this review...",2018-12-13,"Boone Lyon","I love this podcast. I’ve listened to it for the better part of two years and I look forward to their honest, unbiased reporting every week. While the reporters/hosts change rather often, the quality of their reporting does not. I love how creative their “can’t let it go” segments get. At the end of a long work week it’s nice to laugh about the insanity that is U.S. politics.",5,"Politics"
"83","Analytical and Informative",2018-12-14,"thundershower","I'm sure I'm not the first to say it, but this is a great podcast. It updates several times a week, typically, so I can stay pretty informed about politics just by listening regularly, and the reporters provide excellent analysis on the day's political news.",5,"Politics"
"84","Not up to traditional NPR standards.",2018-12-18,"Lsalza","Unbridled Smarminess. Shallow. Condescending.",1,"Politics"
"85","A wide range of political coverage",2018-12-19,"Best of Kirt","I’m disheartened to see so many reviews mourning the loss of “serious journalism” at the top of the iTunes page for this podcast. It seems as though many of them reviewed a single episode instead of the podcast as a whole. I’ve listened to every episode of NPR Politics since its inception. Some episodes are more lighthearted and fun. Others are more focused on the developing stories taking place at the time. All include welcome and measured insight into the context for the news. A rotating panel of hosts and contributors offer varying viewpoints. And each of them does their best to make sure the information being shared is accessible. Anyone who bemoans this approach as “dumbing things down” is discounting the importance of welcoming new and young ears to the NPR listener audience. This is a smart and entertaining review of political news that can be enjoyed by young and old alike.",5,"Politics"
"86","Good for staying up to date on happenings",2018-12-21,"derek.craig6","I like being informed about the topics brought up on the show, but I’m not a huge fan that most co-hosts seem to favor one political party. Holding an unbiased opinion on this podcast surely has to be difficult, but at least have a balanced group of co-hosts. Whether it’s Trump, or the next president, too many co-hosts just want to continue to point out the issues with someone or some group, rather than propose solutions to those problems.",2,"Politics"
"87","I’m a fan",2018-12-21,"Ernest knight","I enjoy this podcast and I believe it is more balanced than most.",4,"Politics"
"88","The One Where Chandler Visits Diane Rehm",2018-12-22,"Spin737","Ken Rudin and Ron Elving were perfect. Can Ken be done with Purgatory?

Mara brings gravitas.",3,"Politics"
"89","News",2018-12-22,"pajamas fool","Yay",5,"Politics"
"90","Great podcast. You guys keep doing what you’re doing",2018-12-27,"Randy Russbuckler Esq.","I listen to this podcast every episode and I love it. There is some great insight that comes from this crew, they know the facts, and their delivery is great. Mara Liasson is especially exceptional.",5,"Politics"
"91","Kashoggi story",2018-10-17,"PushkarRanade","You guys are so behind the curve as far as this story is concerned, why did you even bring it up. Stick to local stories and leave the rest of the world to others.",1,"Politics"
"92","Speed Talkers!?!",2018-10-18,"Simpl300","They talk entirely too fast!! Makes it hard to listen. But like that they cover major topics",3,"Politics"
