Title,Date,User,Body,Rating
So biased and amateurish,01/03/2019,Koochiboo,"Bias just drips out of the participants’ mouths with no apparent attempt to conceal it. Most of the podcast people sound like they just got out of high school and thus, do not sound credible. Mara Liason (spelling?) is listenable because of her long experience, but her bias is quite obvious. Please try to present a more balanced discussion. Lose the millennial types. They contribute nothing.",1
"Not objective, too casual",01/03/2019,Jodeshab,"When the reporters are so casual it makes them sound more like cable news hosts. Also, to me, political editor Dominick Montenegro sounds happy when good things happen to democrats and resentful when good things happen to republicans.",1
My Go To Politics Podcast,01/03/2019,EWangsmo,I started listening during the craziness of the 2016 presidential election and have been a loyal listener since then. I enjoy the more informal tone of the podcast (but I also like their radio stories).,5
Garbage,01/08/2019,latinmemina,Hate speech,1
Shameful bias,01/09/2019,Robert Tilling,I am a life long listener of NPR and liberal Democrat. The coverage has fully crossed the line into inaccurate liberal Trump-bashing bias. I am so sick and tired of hearing them grasp for “orange man bad” arguments at the expense of talking about actual issues. It is shameful that public money is used to produce this drivel. You are journalists for gods sake act like it. Have some self respect. I don’t care what your opinion is. Tell me the news. I am so sad that NPR has turned into full-on unapologetic fake news. No thank you. Membership canceled.,1
Why would you play Baby Shark with no warning?!,01/10/2019,CreepyBrian,"Seriously, that’s why I’m unsubscribing. This podcast is less interesting than just reading he same information on the NPR website.",3
Review,01/15/2019,john smithxxx,This is the most liberal biased bull crap I have heard in a while,2
Going down since the election,01/15/2019,Klaus Van Winkle,Originally came to the podcast to hear in-depth reporting on the election. I found the historical comparisons and knowledge of the contributors reassuring during a crazy news cycle. But recently the podcast has become more jokey and lighthearted. And the contributors seem to be less experienced and more reactionary.,3
Best way to start my day,01/15/2019,Aqwrdmusings,"I mean not recently, because the world is on fire, but if I have to listen to the news while the world is on fire, I'm glad it comes from them.",5
Very Informative & Fun,01/19/2019,IcarusRex,"I love checking in with this podcast on my commute. It’s really informative, balanced, and committed to diversity. 💯",5
